param n := 31;

param c:

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 :=
23 10801.6 15152.95 6498.24 6272.82 5271.02 12439.36 5537.79 6593.05 7228.1 306.27 496.13 16258.56 8664.13 12820.3 11746.07 13732.84 13324.82 11869.05 11816.44 10713.17 8726.93 2384.41 . 7217.68 8439.31 4214.12 6383.09 8873.15 7771.77 6602.64 6500.6
24 8215.31 8735.81 1053.09 1142.56 2133.55 9467.68 2024.21 1677.91 757.09 7518.74 6871.43 14960.36 12837.47 7686.76 7459.38 7431.56 6869.29 5219.82 5481.8 3516.38 2271.17 9539.97 7217.68 . 13566.42 10644.97 1460.19 2114.83 1057.62 1055.82 1165.66
25 17247.81 16411.63 12520.95 12484.48 11686.93 7950.33 11662.23 11921.89 14147.13 8263.21 8935.36 11362.12 1139.93 18709.53 18871.48 17670.66 17760.98 17655.9 18263.15 14775.01 12819.46 6419.37 8439.31 13566.42 . 4251.0 12106.23 13245.22 13118.3 13782.12 12401.71
26 14330.2 19343.58 9671.24 9519.74 8511.67 10535.01 8642.02 9393.03 10922.33 4020.34 4707.53 14342.95 4664.07 16912.01 15721.06 17910.21 17426.52 15814.94 15911.3 13640.22 11224.12 2247.17 4214.12 10644.97 4251.0 . 9374.85 11551.23 10767.86 10366.05 9607.71
27 9577.88 10034.3 435.46 540.73 1138.46 8855.94 845.45 395.84 2105.24 6689.24 6124.07 16330.76 11393.76 9140.91 8911.34 8793.45 8221.48 6581.86 6891.11 4428.85 2375.87 8560.71 6383.09 1460.19 12106.23 9374.85 . 2490.1 1432.58 2003.13 299.54
28 9163.64 7929.67 2421.72 2667.48 3613.28 7523.54 3335.51 2307.12 2675.07 9179.27 8608.67 14144.23 12252.66 7733.8 7936.76 6896.02 6323.23 4820.7 5296.03 2089.23 426.08 11015.09 8873.15 2114.83 13245.22 11551.23 2490.1 . 1170.08 3155.7 2393.49
29 8962.06 8659.43 1276.79 1513.79 2501.79 8411.53 2256.86 1376.23 1758.11 8077.87 7483.17 14963.4 12257.77 8026.57 7995.07 7478.6 6901.45 5290.49 5665.5 2996.85 1236.65 9986.81 7771.77 1057.62 13118.3 10767.86 1432.58 1170.08 . 2108.55 1272.68
30 7609.01 8987.21 1582.86 1483.88 2098.18 10505.07 2163.65 2348.75 636.9 6891.92 6206.7 14928.9 13224.94 7549.04 7114.71 7600.65 7071.27 5450.35 5588.07 4313.5 3326.85 8978.71 6602.64 1055.82 13782.12 10366.05 2003.13 3155.7 2108.55 . 1728.19
31 9284.22 9793.23 145.33 344.56 1229.65 9020.99 994.0 622.67 1806.45 6806.79 6219.72 16075.61 11693.25 8850.93 8612.35 8534.1 7964.33 6320.56 6616.98 4258.38 2331.05 8719.94 6500.6 1165.66 12401.71 9607.71 299.54 2393.49 1272.68 1728.19 .
;
param s := 1 0 2 1 3 5 4 5 5 5 6 3 7 5 8 5 9 5 10 4 11 3 12 3 13 3 14 2 15 2 16 5 17 5 18 5 19 5 20 3 21 5 22 4 23 2 24 2 25 2 26 2 27 5 28 4 29 3 30 5 31 5;

param c_limit := 30000;
